t(s),r(m),v (m/s),FPA (rad),Longitude (rad),Latitude (rad),Heading angle (rad),Heat transfer (W/m2),Heat load (J/m2)
0,3514500,6051.6429987878,-0.168413800841941,0.0101194190030631,0.601964059012844,-0.318348055563766,3371.32252851707,0
2.74756451555627,3511740.15043735,6053.22066998381,-0.164988837268529,0.0154928772203301,0.600495716359371,-0.321590842214421,4141.7553837178,10247.0051379548
5.49512903111254,3509036.40865889,6054.76181840433,-0.161559202799911,0.0208633815941585,0.599010779779036,-0.32482501377803,5114.84805824558,23462.5107874021
8.24269354666881,3506389.08140012,6056.26789152861,-0.158124914810616,0.0262310280430586,0.597509288749007,-0.328050642847284,6269.96666232829,39249.5042793277
10.9902580622251,3503796.03411426,6057.73986442895,-0.154685955946644,0.03159578431282,0.595990908741117,-0.331267742606325,7684.36761871325,58850.0187498913
13.7378225777813,3501260.45167385,6059.16372308463,-0.151242239396401,0.0369569468740375,0.594456212915135,-0.334475679696325,9321.41635612129,82243.1796295379
16.4853870933376,3498779.73497485,6060.54699089212,-0.147793830001393,0.0423146179020119,0.592904820857165,-0.33767458437246,11259.9309677231,111023.219089597
19.2329516088939,3496355.90815544,6061.8687250698,-0.144340418694987,0.047668274087067,0.591337087078149,-0.340864003311201,13476.3723871099,145233.432413797
21.9805161244501,3493986.51417366,6063.13843633519,-0.140882260307455,0.05301790127092,0.589753562132303,-0.344044145128747,15989.352653033,185761.302155624
24.7280806400064,3491674.6400209,6064.32835024299,-0.13741858219324,0.0583629743552789,0.588153186096701,-0.347214221431401,18841.346394564,234173.436685276
27.4756451555627,3489427.93770441,6065.38618754866,-0.133948054800253,0.0637023762695811,0.586535223041439,-0.350372812689437,21991.5948820458,290885.550668018
30.223209671119,3487229.62166808,6066.39837626097,-0.130472344694527,0.0690375207596522,0.584902392795518,-0.3535224291954,25471.4651956681,357445.650906551
32.9707741866752,3485086.1396035,6067.25797037447,-0.126990268642448,0.0743674201464687,0.583254382184245,-0.356661924830393,29251.0698698763,433407.261018378
35.7183387022315,3483005.4476843,6067.86239754294,-0.123500583427332,0.0796909623702967,0.581590455963372,-0.359789881739979,33300.2718379152,518559.921767286
38.4659032177878,3480979.72187947,6068.38060283276,-0.120004719956723,0.0850088988326238,0.579910038569835,-0.362907070187925,37682.8396104417,617077.092518303
41.213467733344,3479010.48185165,6068.76931654116,-0.116500768157508,0.0903205485906157,0.578213797441772,-0.366013099699352,42424.2809918721,728889.584322136
43.9610322489003,3477103.47384413,6068.90034244244,-0.112985799457228,0.0956246740206367,0.576502596765227,-0.36910701809332,47527.9315006298,852456.604076801
46.7085967644566,3475253.09552047,6068.63549589339,-0.109461742519059,0.100921847411533,0.574775850523034,-0.372189289530744,53039.1764217976,991222.513450644
49.4561612800128,3473458.23325769,6068.02548304391,-0.105926959911297,0.106211712661277,0.573033569326712,-0.375259741801463,59016.8201520062,1147254.81030841
52.2037257955691,3471725.79937793,6067.19709191507,-0.102375765202932,0.111492554352695,0.571276797994862,-0.378317172605965,65501.1434218271,1319317.40819522
54.9512903111254,3470058.09040184,6065.88082664766,-0.0988058802520752,0.116763492446152,0.569504937597203,-0.381360670118535,72643.231396384,1510598.02124439
57.6988548266816,3468447.58204081,6063.64408131919,-0.0952194092924337,0.122025302139928,0.567717536871642,-0.384390953962218,80510.0806181777,1725240.13272622
60.4464193422379,3466889.73946688,6060.8152936482,-0.0916141210180111,0.127278126992673,0.565917912627741,-0.38740930728635,88859.6981046786,1958249.91907799
63.1939838577942,3465388.67527136,6057.39726119173,-0.0879850897369566,0.132520569051606,0.564106320853481,-0.390414672706912,97614.8657944478,2210556.88638396
65.9415483733504,3463960.46465054,6052.74824294627,-0.0843234011996779,0.137748842274675,0.562278162251742,-0.39340243923167,107025.290255103,2493352.37392394
68.6891128889067,3462590.5485153,6047.01782139595,-0.0806308118868315,0.142964656121295,0.560437899631987,-0.396375739067168,116912.040468635,2801294.78404358
71.436677404463,3461284.06748792,6040.02529472357,-0.0769013035684055,0.14816593478065,0.558585300647043,-0.399332935227057,127093.747858747,3136475.69432802
74.1842419200192,3460041.42811074,6031.59413829974,-0.0731314349927866,0.153351444566249,0.556720891167619,-0.402273377975611,137446.247367336,3499745.5655406
76.9318064355755,3458862.57506083,6021.53108083984,-0.0693179310593167,0.158519988721546,0.554845192608357,-0.40519644876478,147844.611777509,3891866.95398762
79.6793709511318,3457749.35729816,6009.7437527889,-0.0654572969104697,0.163669764446569,0.552959023957196,-0.408101185440726,158107.660219603,4312172.43683664
82.4269354666881,3456703.04234976,5996.10281742867,-0.061546726006213,0.168798983641256,0.551063197119126,-0.410986666539925,168162.740323844,4760132.62349081
85.1744999822443,3455723.48820029,5980.44844305325,-0.0575843125351155,0.173906157355717,0.549158403458547,-0.413852155918064,177908.305821108,5235484.65271308
87.9220644978006,3454811.36645942,5962.68788220657,-0.0535683935694961,0.178989472233892,0.547245505091403,-0.416696742885028,187218.837015494,5737204.61381199
90.6696290133569,3453969.09739359,5942.85736194257,-0.0495002393361524,0.184046701072223,0.545325592894466,-0.419519308333596,195709.973001845,6262828.29604648
93.4171935289131,3453196.67279886,5920.90852946389,-0.0453814212393831,0.189076139143466,0.543399456061525,-0.422319012595617,203353.302784728,6810776.01281487
96.1647580444694,3452492.7959152,5896.85101462215,-0.0412142974623097,0.194076343611072,0.54146795014193,-0.425095232315232,210174.831669216,7378926.86346968
98.9123225600257,3451860.82304578,5870.83230732889,-0.0370037455261703,0.199044881793537,0.539532265859433,-0.427846747656241,215982.874531715,7963970.30164702
